Date,NASDAQ,AMZN,GOOG,MSFT
2013-04-30,3328.790039,253.809998,409.620819,33.099998
2013-05-31,3455.9099119999996,269.200012,432.795074,34.900002
2013-06-28,3403.25,277.690002,437.34051500000004,34.540001000000004
2013-07-31,3626.3701170000004,301.22000099999997,441.006683,31.84
2013-08-30,3589.8701170000004,280.980011,420.713654,33.400002
2013-09-30,3771.4799799999996,312.640015,435.124939,33.279999
2013-10-31,3919.709961,364.02999900000003,511.960205,35.41
2013-11-29,4059.889893,393.619995,526.37146,38.130001
2013-12-31,4176.589844,398.790009,556.734009,37.41
2014-01-31,4103.879883,358.690002,586.669312,37.84
2014-02-28,4308.120117,362.100006,603.897217,38.310001
2014-03-31,4198.990234000001,336.369995,553.924255,40.990002000000004
2014-04-30,4114.560059,304.130005,523.7799679999999,40.400002
2014-05-30,4242.620117,312.549988,556.8282469999999,40.939999
2014-06-30,4408.180176,324.77999900000003,572.134094,41.700001
2014-07-31,4369.77002,312.98999,568.474243,43.16
2014-08-29,4580.27002,339.040009,568.474243,45.43
2014-09-30,4493.390136999999,322.440002,574.202698,46.360001000000004
2014-10-31,4630.740234000001,305.459991,556.022705,46.950001
2014-11-28,4791.629883,338.640015,538.867004,47.810001
2014-12-31,4736.049805,310.350006,523.521423,46.450001
2015-01-30,4635.240234000001,354.52999900000003,531.594604,40.400002
2015-02-27,4963.529785,380.160004,555.343933,43.849998
2015-03-31,4900.879883,372.100006,545.000854,40.66
2015-04-30,4941.419922,421.77999900000003,537.340027,48.639998999999996
2015-05-29,5070.029785,429.23001100000005,532.1099849999999,46.860001000000004
2015-06-30,4986.870117,434.089996,520.51001,44.150002
2015-07-31,5128.279785,536.150024,625.6099849999999,46.700001
2015-08-31,4776.509765999999,512.8900150000001,618.25,43.52
2015-09-30,4620.160156,511.89001500000006,608.419983,44.259997999999996
2015-10-30,5053.75,625.900024,710.8099980000001,52.639998999999996
2015-11-30,5108.669922,664.799988,742.599976,54.349998
2015-12-31,5007.410156,675.8900150000001,758.880005,55.48
2016-01-29,4613.950195,587.0,742.950012,55.09
2016-02-29,4557.950195,552.52002,697.77002,50.880001
2016-03-31,4869.850098,593.6400150000001,744.950012,55.23
2016-04-29,4775.359863000001,659.590027,693.01001,49.869999
2016-05-31,4948.049805,722.789978,735.719971,53.0
2016-06-30,4842.669922,715.619995,692.099976,51.169998
2016-07-29,5162.129883,758.8099980000001,768.789978,56.68
2016-08-31,5213.220215,769.159973,767.049988,57.459998999999996
2016-09-30,5312.0,837.3099980000001,777.289978,57.599998
2016-10-31,5189.140136999999,789.820007,784.539978,59.919998
2016-11-30,5323.680176,750.570007,758.039978,60.259997999999996
2016-12-30,5383.120117,749.869995,771.820007,62.139998999999996
2017-01-31,5614.790039,823.47998,796.789978,64.650002
2017-02-28,5825.439941,845.0399779999999,823.210022,63.98
2017-03-31,5911.740234000001,886.5399779999999,829.5599980000001,65.860001
2017-04-28,6047.609863000001,924.98999,905.9600220000001,68.459999
2017-05-31,6198.52002,994.6199949999999,964.8599849999999,69.839996
2017-06-30,6140.419922,968.0,908.7299800000001,68.93
2017-07-31,6348.120117,987.7800289999999,930.5,72.699997
2017-08-31,6428.660156,980.599976,939.330017,74.769997
2017-09-29,6495.959961,961.349976,959.1099849999999,74.489998
2017-10-31,6727.669922,1105.280029,1016.6400150000001,83.18
2017-11-30,6873.970215,1176.75,1021.409973,84.16999799999999
2017-12-29,6903.390137,1169.469971,1046.400024,85.540001
